"","Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","First.Time.Discloser","Population","City.Location","Sustainability.Targets.Master.Planning","Risk.Assessment.Actions","Nb.Hazards.Type","Hazards.Exposure.Level","Adaptation.Challenges.Health","Adaptation.Challenges.Economic","Adaptation.Challenges.Environment","Adaptation.Challenges.Infrastructure","Adaptation.Challenges.Social","Adaptation.Challenges.Governance","Adaptation.Challenges.Education","Adaptation.Challenges.Level","Risk.Health.System","Nb.Adaptation.Actions","Adaptation.Plan","City.Wide.Emissions.Inventory","GHG.Emissions.Primary.protocol","GHG.Emissions.Evolution","GHG.Emissions.Consumption","GHG.Emissions.External.Verification","GHG.Emissions.Reductions.Targets","Emissions.Reductions.Mitigation.Planning","Opportunities.Collaboration","Renewable.Energy.Target","Electricity.Source.Biomass","Electricity.Source.Coal","Electricity.Source.Gas","Electricity.Source.Geothermal","Electricity.Source.Hydro","Electricity.Source.Nuclear","Electricity.Source.Oil","Electricity.Source.Other","Electricity.Source.Solar","Electricity.Source.Wind","Electricity.Source.Renewable","Energy.Efficnecy.Target","Transport.Mode.Passenger.Public","Transport.Mode.Passenger.Cycling","Transport.Mode.Passenger.Other","Transport.Mode.Passenger.Private.motorized","Transport.Mode.Passenger.Walking","Low.Zero.Emission.Zone","Food.Consumption.Policies","Potable.Water.Supply.Percent","Water.Resource.Management.strategy","lat","long","Country.Code.3"
"1",2020,49335,"Metropolitan Government of Nashville and Davidson County","Nashville","United States of America","North America","No",692587,"POINT (-86.7816 36.1627)","Yes","Yes",3,41,0,1,0,0,1,0,0,2,"Yes",6,"In progress","Yes","GPC","Decreased","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","Yes",0,24,20,0,9,37,0,7,1.5,1.5,12,"Yes",2.1,0.2,6.7,89,2,"No","Yes",100,"Not intending to undertake",36.1627,-86.7816,"USA"
"2",2020,60278,"Prefeitura de Fernandópolis","Fernandópolis","Brazil","Latin America","No",68823,"POINT (-50.2475 -20.2858)","Intending to incorporate in the next 2 years","Intending to undertake in the next 2 years",2,12,NA,NA,NA,NA,NA,NA,NA,NA,"No",1,"Do not know","Yes","Regional or country specific methodology","Decreased","Do not know","Do not know","No target",NA,"Yes","In progress",0,0,0,0,98,0,0,0,2,0,100,"In progress",NA,NA,NA,NA,NA,"Do not know","Yes",100,"In progress",-20.2858,-50.2475,"BRA"
"3",2020,57509,"Prefeitura Niterói","Niterói","Brazil","Latin America","No",513584,"POINT (-43.1184 -22.8928)","Yes","Yes",9,121,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",10,"Yes","Yes","GPC","This is our first year of calculation","Not intending to undertake","Yes","No target","In progress","Yes","Do not know",0,NA,0,0,100,0,0,0,0,0,100,"Intending to undertake in the next 2 years",41,4,0,26,29,"No","Yes",100,"Yes",-22.8928,-43.1184,"BRA"
"4",2020,60114,"City of Gdynia","Gdynia","Poland","Europe","No",246348,"POINT (18.5305 54.5189)","Yes","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Yes","Intending to undertake in the next 2 years",NA,NA,NA,NA,"Base year emissions (absolute) target","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5189,18.5305,"POL"
"5",2020,32550,"City of Denver","Denver","United States of America","North America","No",716492,"POINT (-104.985 39.7376)","Yes","Yes",4,65,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",11,"Yes","Yes","GPC","Decreased","Yes","In progress","Base year emissions (absolute) target","Yes","Yes","Yes",0,39,33,0,1,0,0,0,3,24,28,"In progress",NA,NA,NA,NA,NA,"No","Yes",100,"Not intending to undertake",39.7376,-104.985,"USA"
"6",2020,54519,"City of Lund","Lund","Sweden","Europe","Yes",124935,"","Yes","Yes",5,74,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,"Yes","Yes","City specific methodology","Decreased","Intending to undertake in the next 2 years","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",0,0,0,0,40,39,0,10,0,11,51,"Yes",23.6,27.1,0.9,34.2,14.2,"Yes","Yes",100,"Yes",55.7029296,13.1929449,"SWE"
"7",2020,35897,"Municipality of Campinas","Campinas","Brazil","Latin America","No",1204073,"POINT (-46.9372 -22.744)","Yes","Yes",7,123,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",7,"In progress","Yes","GPC","This is our first year of calculation","Not intending to undertake","Intending to undertake in the next 2 years","Base year emissions (absolute) target","Yes","Yes","In progress",8.3,2.4,9.6,0,63.5,2.6,1.3,2.3,1.1,8.9,73.5,"Do not know",14.2,2.2,15.1,43.4,25.1,"Yes","Yes",99.81,"Yes",-22.744,-46.9372,"BRA"
"8",2020,68383,"Prefeitura de Itatiba","Itatiba","Brazil","Latin America","No",115051,"POINT (-23 46.5)","Yes","In progress",1,12,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",2,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","In progress","In progress","In progress",0,0,0,0,0,0,0,0,0,0,0,"Intending to undertake in the next 2 years",0,0,0,NA,0,"Do not know","Do not know",99,"Yes",-12.25,-38.97,"BRA"
"9",2020,59563,"City of Takoma Park, MD","Takoma Park","United States of America","North America","No",17765,"POINT (-77.0075 38.9779)","Yes","Yes",8,80,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,"Yes","Yes","ICLEI","Decreased","Not intending to undertake","Do not know","Fixed level target","Yes","Yes","Yes",0.3,29.8,28.7,0,1.4,35.3,0.3,0.8,0.3,3.1,4.8,"Not intending to undertake",NA,NA,NA,NA,NA,"No","No",100,"Not intending to undertake",38.9779,-77.0075,"USA"
"10",2020,31165,"Stadt Heidelberg","Heidelberg","Germany","Europe","No",148365,"POINT (8.67243 49.3988)","Yes","Yes",3,38,0,0,0,0,0,2,0,2,"No",2,"Yes","Yes","GPC","Stayed the same","Not intending to undertake","Not intending to undertake","Base year emissions (absolute) target","Yes","Yes","Yes",7.4,28.3,15.1,0,3.3,12.4,0.8,4.3,7.5,20.9,31.7,"Yes",13,29,NA,29,29,"Yes","Yes",99,"Yes",49.3988,8.67243,"DEU"
"11",2020,31165,"Stadt Heidelberg","Heidelberg","Germany","Europe","No",148365,"POINT (8.67243 49.3988)","Yes","Yes",3,38,0,0,0,0,0,2,0,2,"No",2,"Yes","Yes","GPC","Stayed the same","Not intending to undertake","Not intending to undertake","Baseline scenario (business as usual) target","Yes","Yes","Yes",7.4,28.3,15.1,0,3.3,12.4,0.8,4.3,7.5,20.9,31.7,"Yes",13,29,NA,29,29,"Yes","Yes",99,"Yes",49.3988,8.67243,"DEU"
"12",2020,49347,"City of Omaha","Omaha","United States of America","North America","No",468267,"","Yes","Yes",10,85,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Not intending to undertake","Yes",NA,"Do not know","Not intending to undertake","Not intending to undertake","Fixed level target","Not intending to undertake","Yes","Yes",0,65.96,3.12,0,3.47,27.42,0.03,0,0,0,3.47,NA,NA,NA,NA,NA,NA,"No","Do not know",NA,"Yes",40.7682,-74.2348,"USA"
"13",2020,49347,"City of Omaha","Omaha","United States of America","North America","No",468267,"","Yes","Yes",10,85,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",1,"Not intending to undertake","Yes",NA,"Do not know","Not intending to undertake","Not intending to undertake","No target","Not intending to undertake","Yes","Yes",0,65.96,3.12,0,3.47,27.42,0.03,0,0,0,3.47,NA,NA,NA,NA,NA,NA,"No","Do not know",NA,"Yes",40.7682,-74.2348,"USA"
"14",2020,848408,"Municipio de Cajamarca","","Colombia","Latin America","Yes",17309,"","Yes","Yes",1,16,0,1,0,0,0,0,0,1,"Do not know",1,"Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Yes","Not intending to undertake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","No",47,"Yes",-18.9369363,-65.3764224,"COL"
"15",2020,60271,"Prefeitura de Bertioga","Bertioga","Brazil","Latin America","No",64723,"POINT (-46.0599 -23.8081)","Yes","Intending to undertake in the next 2 years",3,17,0,0,1,0,0,0,0,1,"No",3,"Intending to undertake in the next 2 years","Not intending to undertake",NA,NA,NA,NA,"No target","Intending to undertake in the next 2 years","Intending to undertake in the next 2 years","Intending to undertake in the next 2 years",0,0,0,0,75,4,19,0,0,2,77,"Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,"Do not know","Do not know",98,"In progress",-23.8081,-46.0599,"BRA"
"16",2020,54386,"Tainan City Government","Tainan","Taiwan, Greater China","East Asia","No",1880906,"POINT (120.227 22.9999)","Yes","Yes",3,70,0,0,1,0,0,0,0,1,"Yes",4,"Yes","Yes","GPC","Decreased","Not intending to undertake","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",NA,4.4,38.6,NA,1.5,13.5,36.9,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes",100,"Yes",22.9999,120.227,"TWN"
"17",2020,840018,"Municipalidad Distrital de Ate","","Peru","Latin America","No",647000,"","In progress","Yes",2,18,1,2,0,1,0,0,0,4,"Yes",3,"Intending to undertake in the next 2 years","In progress","Other",NA,NA,NA,"No target","In progress","Yes","Intending to undertake in the next 2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In progress",56,NA,39,NA,NA,"No","Do not know",78,"Intending to undertake in next 2 years",-12.0751237,-76.9803947621067,"PER"
"18",2020,845302,"Paraíso","","Costa Rica","Latin America","Yes",58030,"","Not intending to incorporate","Not intending to undertake",1,16,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know",1,"Not intending to undertake","Not intending to undertake",NA,NA,NA,NA,"No target","Not intending to undertake","Not intending to undertake","Not intending to undertake",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Do not know",NA,NA,NA,NA,NA,"Do not know","Do not know",90,"Yes",9.9764,-84.8339,"CRI"
"19",2020,59572,"District of Saanich, BC","Saanich","Canada","North America","No",114148,"POINT (123.378 48.4594)","Yes","Yes",11,40,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",4,"Yes","Yes","GPC","Decreased","Yes","Yes","Base year emissions (absolute) target","Yes","Yes","Yes",NA,0,1.76,NA,95.57,NA,NA,2.67,NA,NA,NA,"Yes",10,5,NA,77,8,"No","Yes",100,"Yes",48.5142,-123.3839,"CAN"
