Unnamed: 0,Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,First.Time.Discloser,Population,City.Location,Sustainability.Targets.Master.Planning,Risk.Assessment.Actions,Nb.Hazards.Type,Hazards.Exposure.Level,Adaptation.Challenges.Health,Adaptation.Challenges.Economic,Adaptation.Challenges.Environment,Adaptation.Challenges.Infrastructure,Adaptation.Challenges.Social,Adaptation.Challenges.Governance,Adaptation.Challenges.Education,Adaptation.Challenges.Level,Risk.Health.System,Nb.Adaptation.Actions,Adaptation.Plan,City.Wide.Emissions.Inventory,GHG.Emissions.Primary.protocol,GHG.Emissions.Evolution,GHG.Emissions.Consumption,GHG.Emissions.External.Verification,GHG.Emissions.Reductions.Targets,Emissions.Reductions.Mitigation.Planning,Opportunities.Collaboration,Renewable.Energy.Target,Electricity.Source.Biomass,Electricity.Source.Coal,Electricity.Source.Gas,Electricity.Source.Geothermal,Electricity.Source.Hydro,Electricity.Source.Nuclear,Electricity.Source.Oil,Electricity.Source.Other,Electricity.Source.Solar,Electricity.Source.Wind,Electricity.Source.Renewable,Energy.Efficnecy.Target,Transport.Mode.Passenger.Public,Transport.Mode.Passenger.Cycling,Transport.Mode.Passenger.Other,Transport.Mode.Passenger.Private.motorized,Transport.Mode.Passenger.Walking,Low.Zero.Emission.Zone,Food.Consumption.Policies,Potable.Water.Supply.Percent,Water.Resource.Management.strategy,lat,long,Country.Code.3
1,2020,49335,Metropolitan Government of Nashville and Davidson County,Nashville,United States of America,North America,No,692587.0,POINT (-86.7816 36.1627),Yes,Yes,3.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Yes,6,In progress,Yes,GPC,Decreased,Not intending to undertake,Intending to undertake in the next 2 years,Base year emissions (absolute) target,Yes,Yes,Yes,0.0,24.0,20.0,0.0,9.0,37.0,0.0,7.0,1.5,1.5,12.0,Yes,2.1,0.2,6.7,89.0,2.0,No,Yes,100.0,Not intending to undertake,36.1627,-86.7816,USA
2,2020,60278,Prefeitura de Fernandópolis,Fernandópolis,Brazil,Latin America,No,68823.0,POINT (-50.2475 -20.2858),Intending to incorporate in the next 2 years,Intending to undertake in the next 2 years,2.0,12.0,,,,,,,,,No,1,Do not know,Yes,Regional or country specific methodology,Decreased,Do not know,Do not know,No target,,Yes,In progress,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,2.0,0.0,100.0,In progress,,,,,,Do not know,Yes,100.0,In progress,-20.2858,-50.2475,BRA
3,2020,57509,Prefeitura Niterói,Niterói,Brazil,Latin America,No,513584.0,POINT (-43.1184 -22.8928),Yes,Yes,9.0,121.0,,,,,,,,,Yes,10,Yes,Yes,GPC,This is our first year of calculation,Not intending to undertake,Yes,No target,In progress,Yes,Do not know,0.0,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,Intending to undertake in the next 2 years,41.0,4.0,0.0,26.0,29.0,No,Yes,100.0,Yes,-22.8928,-43.1184,BRA
4,2020,60114,City of Gdynia,Gdynia,Poland,Europe,No,246348.0,POINT (18.5305 54.5189),Yes,Yes,5.0,,,,,,,,,,,1,Yes,Intending to undertake in the next 2 years,,,,,Base year emissions (absolute) target,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,54.5189,18.5305,POL
5,2020,32550,City of Denver,Denver,United States of America,North America,No,716492.0,POINT (-104.985 39.7376),Yes,Yes,4.0,65.0,,,,,,,,,Yes,11,Yes,Yes,GPC,Decreased,Yes,In progress,Base year emissions (absolute) target,Yes,Yes,Yes,0.0,39.0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,24.0,28.0,In progress,,,,,,No,Yes,100.0,Not intending to undertake,39.7376,-104.985,USA
6,2020,54519,City of Lund,Lund,Sweden,Europe,Yes,124935.0,,Yes,Yes,5.0,74.0,,,,,,,,,Yes,4,Yes,Yes,City specific methodology,Decreased,Intending to undertake in the next 2 years,Yes,Base year emissions (absolute) target,Yes,Yes,Yes,0.0,0.0,0.0,0.0,40.0,39.0,0.0,10.0,0.0,11.0,51.0,Yes,23.6,27.1,0.9,34.2,14.2,Yes,Yes,100.0,Yes,55.7029296,13.192944899999999,SWE
7,2020,35897,Municipality of Campinas,Campinas,Brazil,Latin America,No,1204073.0,POINT (-46.9372 -22.744),Yes,Yes,7.0,123.0,,,,,,,,,Yes,7,In progress,Yes,GPC,This is our first year of calculation,Not intending to undertake,Intending to undertake in the next 2 years,Base year emissions (absolute) target,Yes,Yes,In progress,8.3,2.4,9.6,0.0,63.5,2.6,1.3,2.3,1.1,8.9,73.5,Do not know,14.2,2.2,15.1,43.4,25.1,Yes,Yes,99.81,Yes,-22.744,-46.9372,BRA
8,2020,68383,Prefeitura de Itatiba,Itatiba,Brazil,Latin America,No,115051.0,POINT (-23 46.5),Yes,In progress,1.0,12.0,,,,,,,,,Yes,2,Intending to undertake in the next 2 years,Intending to undertake in the next 2 years,,,,,No target,In progress,In progress,In progress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intending to undertake in the next 2 years,0.0,0.0,0.0,,0.0,Do not know,Do not know,99.0,Yes,-12.25,-38.97,BRA
9,2020,59563,"City of Takoma Park, MD",Takoma Park,United States of America,North America,No,17765.0,POINT (-77.0075 38.9779),Yes,Yes,8.0,80.0,,,,,,,,,Yes,4,Yes,Yes,ICLEI,Decreased,Not intending to undertake,Do not know,Fixed level target,Yes,Yes,Yes,0.3,29.8,28.7,0.0,1.4,35.3,0.3,0.8,0.3,3.1,4.8,Not intending to undertake,,,,,,No,No,100.0,Not intending to undertake,38.9779,-77.0075,USA
10,2020,31165,Stadt Heidelberg,Heidelberg,Germany,Europe,No,148365.0,POINT (8.67243 49.3988),Yes,Yes,3.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No,2,Yes,Yes,GPC,Stayed the same,Not intending to undertake,Not intending to undertake,Base year emissions (absolute) target,Yes,Yes,Yes,7.4,28.3,15.1,0.0,3.3,12.4,0.8,4.3,7.5,20.9,31.7,Yes,13.0,29.0,,29.0,29.0,Yes,Yes,99.0,Yes,49.3988,8.67243,DEU
11,2020,31165,Stadt Heidelberg,Heidelberg,Germany,Europe,No,148365.0,POINT (8.67243 49.3988),Yes,Yes,3.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,No,2,Yes,Yes,GPC,Stayed the same,Not intending to undertake,Not intending to undertake,Baseline scenario (business as usual) target,Yes,Yes,Yes,7.4,28.3,15.1,0.0,3.3,12.4,0.8,4.3,7.5,20.9,31.7,Yes,13.0,29.0,,29.0,29.0,Yes,Yes,99.0,Yes,49.3988,8.67243,DEU
12,2020,49347,City of Omaha,Omaha,United States of America,North America,No,468267.0,,Yes,Yes,10.0,85.0,,,,,,,,,Yes,1,Not intending to undertake,Yes,,Do not know,Not intending to undertake,Not intending to undertake,Fixed level target,Not intending to undertake,Yes,Yes,0.0,65.96,3.12,0.0,3.47,27.42,0.03,0.0,0.0,0.0,3.47,,,,,,,No,Do not know,,Yes,40.7682,-74.2348,USA
13,2020,49347,City of Omaha,Omaha,United States of America,North America,No,468267.0,,Yes,Yes,10.0,85.0,,,,,,,,,Yes,1,Not intending to undertake,Yes,,Do not know,Not intending to undertake,Not intending to undertake,No target,Not intending to undertake,Yes,Yes,0.0,65.96,3.12,0.0,3.47,27.42,0.03,0.0,0.0,0.0,3.47,,,,,,,No,Do not know,,Yes,40.7682,-74.2348,USA
